Beta T1(Beta)
0 0
4.84621e-06 30088.8
6.46159e-06 22566.7
8.61539e-06 16925.1
1.14872e-05 12693.8
1.53162e-05 9520.34
2.04213e-05 7140.35
2.72294e-05 5355.06
3.63056e-05 4016.31
4.84071e-05 3012.23
6.45425e-05 2259.17
8.60573e-05 1694.35
0.000114746 1270.71
0.000152989 953.051
0.000203991 714.747
0.000271985 536.049
0.00036264 402.025
0.00048352 301.501
0.0006447 226.105
0.000859597 169.561
0.00114611 127.155
0.00152815 95.3479
0.00203759 71.4905
0.00271676 53.6003
0.00362235 40.182
0.00482979 30.1183
0.00965959 15.0228
0.0144894 9.99098
0.0193192 7.47511
0.024149 5.96561
0.0289788 4.9593
0.0386383 3.70145
0.0482979 2.94679
0.0579575 2.6514
0.0676171 2.473
0.0772767 2.2914
0.0965959 1.96838
0.120745 1.59572
0.144894 1.31994
0.169043 1.07831
0.193192 0.881894
0.217341 0.7224
0.24149 0.586223
0.289788 0.380875
0.338086 0.239679
0.386383 0.151046
0.434681 0.101643
0.482979 0.0751045
0.531277 0.0595645
0.579575 0.0499184
0.627873 0.0432936
0.676171 0.0378613
0.724469 0.0335643
0.772767 0.0303812
0.821065 0.0276385
0.869363 0.0252669
0.917661 0.0233446
0.965959 0.0216392
1.01426 0.0199931
1.06255 0.0185394
1.11085 0.0173249
1.15915 0.0161858
1.20745 0.0149816
1.25575 0.013762
1.30404 0.0126417
1.35234 0.0115797
1.40064 0.0104767
1.44894 0.00935298
1.49724 0.00838742
1.54553 0.00764682
1.59383 0.00709341
1.64213 0.00669648
1.69043 0.00644499
1.73873 0.00629371
1.78702 0.00619098
1.83532 0.00612949
1.88362 0.00611334
1.93192 0.00611439
1.98022 0.00610705
2.02851 0.00611482
2.07681 0.00615344
2.12511 0.00617076
2.17341 0.00612911
2.2217 0.00608813
2.27 0.00605427
2.3183 0.00597868
2.3666 0.00585968
2.4149 0.00572724
2.46319 0.00556904
2.51149 0.00536286
2.55979 0.00512093
2.62036 0.0048013
2.67571 0.00447782
2.73366 0.00410226
2.80128 0.00369186
2.85924 0.00338147
2.92685 0.00302877
3.00413 0.00264279
3.07175 0.00233397
3.14903 0.00203246
3.2263 0.00176799
3.31324 0.00150295
3.40017 0.00128439
3.48711 0.00108771
3.58371 0.000907078
3.6803 0.000755441
3.78656 0.000618267
3.89281 0.000499673
3.99907 0.000404078
4.11498 0.000319457
4.24056 0.000247659
4.36613 0.000193602
4.49171 0.0001482
4.6366 0.000107109
4.77184 7.20426e-05
4.92639 4.27415e-05
5.08094 2.52379e-05
5.24081 1.57784e-05
5.40937 1.03052e-05
5.50596 8.35227e-06
5.76677 5.1608e-06
5.95997 3.74097e-06
6.15316 0
6.36567 0
6.57818 0
6.80035 0
7.04184 0
7.28333 0
7.54414 0
7.63107 0
7.72767 0
7.82697 0
7.92086 0
7.99814 7.35951e-08
8.08507 3.71987e-07
8.37486 1.00386e-06
8.67431 2.23628e-07
8.98342 0
9.31184 0
9.65959 0
10.046 0
10.4468 2.04875e-314
10.7801 4.73958e-284
11.1761 4.83217e-250
11.5915 8.47813e-217
12.0358 5.56184e-184
12.5381 2.65292e-150
