e	rho(e)	beta	rho(beta)	P(beta)	T1(beta)
0	0	0	0	7.41114	2.3147
0.001265	0.38183	0.049999	0.0185271	7.41037	2.25732
0.00253	1.0796	0.0999981	0.0523843	5.23645	1.55572
0.003795	1.6625	0.149997	0.0806677	3.58201	1.03792
0.00506	1.9735	0.199996	0.095758	2.39006	0.675445
0.006325	2.0196	0.249995	0.0979949	1.5639	0.431057
0.00759	1.8515	0.299994	0.0898384	0.994509	0.267347
0.008855	1.5652	0.349993	0.0759465	0.616843	0.161728
0.01012	1.3384	0.399992	0.0649418	0.403208	0.103106
0.011385	1.2414	0.449991	0.0602351	0.294974	0.0735664
0.01265	1.213	0.49999	0.0588571	0.233003	0.0566761
0.013915	1.2339	0.549989	0.0598712	0.195456	0.0463694
0.01518	1.2963	0.599988	0.062899	0.172133	0.0398279
0.016445	1.3604	0.649987	0.0660092	0.153524	0.0346453
0.01771	1.4245	0.699986	0.0691195	0.138226	0.0304229
0.018975	1.5091	0.749985	0.0732245	0.12718	0.0273006
0.02024	1.5999	0.799984	0.0776303	0.118127	0.0247311
0.021505	1.6795	0.849984	0.0814926	0.109472	0.0223532
0.02277	1.7703	0.899983	0.0858984	0.102555	0.0204239
0.024035	1.885	0.949982	0.0914639	0.0976359	0.0189642
0.0253	2.0024	0.999981	0.0971603	0.0932308	0.0176615
0.026565	2.1078	1.04998	0.102275	0.0886413	0.0163774
0.02783	2.2058	1.09998	0.10703	0.0841507	0.0151639
0.029095	2.2969	1.14998	0.11145	0.0798048	0.0140257
0.03036	2.3736	1.19998	0.115172	0.0753788	0.0129207
0.031625	2.4315	1.24998	0.117981	0.0708101	0.011838
0.03289	2.4631	1.29997	0.119514	0.0659765	0.0107576
0.034155	2.463	1.34997	0.11951	0.06085	0.00967671
0.03542	2.442	1.39997	0.118491	0.055788	0.00865267
0.036685	2.4283	1.44997	0.117826	0.0514188	0.00777812
0.03795	2.4497	1.49997	0.118864	0.0481847	0.00710894
0.039215	2.5256	1.54997	0.122547	0.0462404	0.00665365
0.04048	2.6468	1.59997	0.128428	0.0451922	0.00634226
0.041745	2.8022	1.64997	0.135968	0.0446987	0.00611813
0.04301	2.9994	1.69997	0.145537	0.0447715	0.0059768
0.044275	3.2493	1.74997	0.157662	0.0454572	0.00591851
0.04554	3.5338	1.79997	0.171467	0.0464013	0.00589228
0.046805	3.8369	1.84996	0.186174	0.047352	0.00586454
0.04807	4.1585	1.89996	0.201778	0.0482971	0.00583391
0.049335	4.51	1.94996	0.218834	0.049353	0.00581427
0.0506	4.8879	1.99996	0.23717	0.0504554	0.00579738
0.051865	5.284	2.04996	0.25639	0.0515068	0.00577207
0.05313	5.688	2.09996	0.275993	0.0524107	0.00572836
0.054395	6.0939	2.14996	0.295688	0.0531293	0.00566352
0.05566	6.5062	2.19996	0.315693	0.0537206	0.00558517
0.056925	6.924	2.24996	0.335966	0.0541904	0.00549491
0.05819	7.3146	2.29996	0.354919	0.0543081	0.00537089
0.059455	7.6278	2.34995	0.370116	0.0537678	0.00518617
0.06072	7.8765	2.39995	0.382183	0.0527508	0.00496244
0.061985	8.1019	2.44995	0.39312	0.0515896	0.00473339
0.06325	8.3148	2.49995	0.40345	0.0503733	0.00450768
0.064515	8.466	2.54995	0.410787	0.0488292	0.00426162
0.06578	8.5106	2.59995	0.412951	0.0467607	0.00398033
0.067045	8.443	2.64995	0.409671	0.0442172	0.0036709
0.06831	8.3176	2.69995	0.403586	0.0415442	0.00336383
0.069575	8.2258	2.74995	0.399132	0.039205	0.00309605
0.07084	8.1672	2.79995	0.396288	0.0371629	0.00286233
0.072105	8.0634	2.84994	0.391252	0.0350462	0.00263265
0.07337	7.8788	2.89994	0.382295	0.0327246	0.00239756
0.074635	7.7084	2.94994	0.374027	0.0306102	0.00218728
0.0759	7.5812	2.99994	0.367855	0.0287948	0.00200676
0.077165	7.4298	3.04994	0.360508	0.0270028	0.00183541
0.07843	7.2166	3.09994	0.350163	0.025107	0.00166441
0.079695	7.0165	3.14994	0.340454	0.0233764	0.00151143
0.08096	6.8529	3.19994	0.332516	0.021872	0.00137924
0.082225	6.6832	3.24994	0.324282	0.0204413	0.0012572
0.08349	6.4839	3.29994	0.314611	0.0190116	0.0011404
0.084755	6.2897	3.34994	0.305188	0.0176854	0.00103465
0.08602	6.1278	3.39993	0.297333	0.0165283	0.000943087
0.087285	5.9917	3.44993	0.290729	0.0155076	0.000863003
0.08855	5.8309	3.49993	0.282927	0.0144854	0.000786214
0.089815	5.6189	3.54993	0.27264	0.013402	0.000709451
0.09108	5.3965	3.59993	0.261849	0.0123616	0.000638218
0.092345	5.2295	3.64993	0.253745	0.0115075	0.000579452
0.09361	5.0961	3.69993	0.247273	0.0107752	0.000529185
0.094875	4.9383	3.74993	0.239616	0.0100356	0.000480692
0.09614	4.7503	3.79993	0.230494	0.00928041	0.000433545
0.097405	4.5634	3.84993	0.221425	0.00857266	0.000390594
0.09867	4.3927	3.89992	0.213142	0.00793666	0.000352687
0.099935	4.234	3.94992	0.205442	0.00735919	0.000318952
0.1012	4.0757	3.99992	0.197761	0.00681625	0.000288127
0.102465	3.906	4.04992	0.189527	0.00628678	0.000259185
0.10373	3.7421	4.09992	0.181574	0.00579762	0.000233117
0.104995	3.5991	4.14992	0.174635	0.00536847	0.000210531
0.10626	3.4636	4.19992	0.168061	0.00497493	0.000190281
0.107525	3.3199	4.24992	0.161088	0.00459267	0.000171324
0.10879	3.1826	4.29992	0.154426	0.0042411	0.000154303
0.110055	3.0533	4.34992	0.148152	0.0039201	0.000139102
0.11132	2.9071	4.39991	0.141058	0.00359658	0.000124472
0.112585	2.7299	4.44991	0.13246	0.00325499	0.000109868
0.11385	2.5375	4.49991	0.123124	0.00291641	9.60097e-05
0.115115	2.3434	4.54991	0.113706	0.00259654	8.33689e-05
0.11638	2.1513	4.59991	0.104385	0.00229837	7.19734e-05
0.117645	1.9532	4.64991	0.0947731	0.00201233	6.14601e-05
0.11891	1.7492	4.69991	0.0848746	0.00173814	5.17753e-05
0.120175	1.5582	4.74991	0.0756069	0.00149355	4.33912e-05
0.12144	1.3939	4.79991	0.0676347	0.00128896	3.65227e-05
0.122705	1.2399	4.84991	0.0601624	0.00110627	3.05723e-05
0.12397	1.1004	4.89991	0.0533935	0.000947429	2.55362e-05
0.125235	0.99699	4.9499	0.0483759	0.000828441	2.17778e-05
0.1265	0.92203	4.9999	0.0447387	0.000739508	1.896e-05
0.127765	0.84542	5.0499	0.0410214	0.000654558	1.63676e-05
0.12903	0.77743	5.0999	0.0377224	0.000581118	1.41725e-05
0.130295	0.73029	5.1499	0.0354351	0.000527077	1.25371e-05
0.13156	0.68805	5.1999	0.0333855	0.000479537	1.11247e-05
0.132825	0.64727	5.2499	0.0314068	0.000435669	9.85749e-06
0.13409	0.61932	5.2999	0.0300506	0.000402625	8.88492e-06
0.135355	0.59475	5.3499	0.0288584	0.00037349	8.03848e-06
0.13662	0.56481	5.3999	0.0274057	0.000342649	7.19261e-06
0.137885	0.54473	5.44989	0.0264314	0.00031928	6.53661e-06
0.13915	0.53324	5.49989	0.0258738	0.000301994	6.03007e-06
0.140415	0.51494	5.54989	0.0249859	0.000281811	5.48813e-06
0.14168	0.49853	5.59989	0.0241896	0.000263668	5.00803e-06
0.142945	0.49162	5.64989	0.0238544	0.000251304	4.65535e-06
0.14421	0.48152	5.69989	0.0233643	0.000237918	4.29854e-06
0.145475	0.46689	5.74989	0.0226544	0.000223	3.92955e-06
0.14674	0.45969	5.79989	0.0223051	0.000212261	3.64797e-06
0.148005	0.45248	5.84989	0.0219552	0.000202002	3.38594e-06
0.14927	0.44006	5.89989	0.0213526	0.000189956	3.10542e-06
