        e        rho(e)      beta     rho(beta)          bigp      t1(beta)
  0.00000    0.0000E+00    0.0000    0.0000E+00    3.6603E+00    2.2604E+00
  0.00127    4.0052E-01    0.0518    9.8071E-03    3.6599E+00    2.3194E+00
  0.00253    1.1195E+00    0.1035    2.7411E-02    2.5565E+00    1.6626E+00
  0.00380    1.6986E+00    0.1553    4.1592E-02    1.7231E+00    1.1500E+00
  0.00506    2.0101E+00    0.2070    4.9220E-02    1.1461E+00    7.8495E-01
  0.00632    2.0729E+00    0.2588    5.0757E-02    7.5565E-01    5.3111E-01
  0.00759    1.8989E+00    0.3106    4.6495E-02    4.8011E-01    3.4629E-01
  0.00886    1.5806E+00    0.3623    3.8702E-02    2.9318E-01    2.1701E-01
  0.01012    1.3225E+00    0.4141    3.2382E-02    1.8750E-01    1.4243E-01
  0.01139    1.2069E+00    0.4659    2.9552E-02    1.3495E-01    1.0519E-01
  0.01265    1.1713E+00    0.5176    2.8681E-02    1.0586E-01    8.4684E-02
  0.01392    1.1940E+00    0.5694    2.9236E-02    8.8973E-02    7.3040E-02
  0.01518    1.2529E+00    0.6211    3.0678E-02    7.8250E-02    6.5922E-02
  0.01645    1.3087E+00    0.6729    3.2045E-02    6.9453E-02    6.0044E-02
  0.01771    1.3727E+00    0.7247    3.3611E-02    6.2625E-02    5.5561E-02
  0.01898    1.4584E+00    0.7764    3.5710E-02    5.7774E-02    5.2601E-02
  0.02024    1.5447E+00    0.8282    3.7824E-02    5.3600E-02    5.0080E-02
  0.02150    1.6329E+00    0.8800    3.9983E-02    5.0007E-02    4.7948E-02
  0.02277    1.7375E+00    0.9317    4.2543E-02    4.7278E-02    4.6521E-02
  0.02404    1.8395E+00    0.9835    4.5043E-02    4.4744E-02    4.5181E-02
  0.02530    1.9260E+00    1.0352    4.7160E-02    4.2099E-02    4.3625E-02
  0.02656    2.0275E+00    1.0870    4.9646E-02    4.0018E-02    4.2555E-02
  0.02783    2.1419E+00    1.1388    5.2446E-02    3.8338E-02    4.1838E-02
  0.02910    2.2325E+00    1.1905    5.4665E-02    3.6381E-02    4.0743E-02
  0.03036    2.2889E+00    1.2423    5.6045E-02    3.4082E-02    3.9169E-02
  0.03163    2.3400E+00    1.2941    5.7297E-02    3.1940E-02    3.7671E-02
  0.03289    2.3818E+00    1.3458    5.8319E-02    2.9892E-02    3.6179E-02
  0.03416    2.3834E+00    1.3976    5.8360E-02    2.7579E-02    3.4255E-02
  0.03542    2.3430E+00    1.4493    5.7371E-02    2.5060E-02    3.1942E-02
  0.03668    2.3094E+00    1.5011    5.6547E-02    2.2885E-02    2.9935E-02
  0.03795    2.3153E+00    1.5529    5.6692E-02    2.1304E-02    2.8597E-02
  0.03922    2.3633E+00    1.6046    5.7867E-02    2.0233E-02    2.7871E-02
  0.04048    2.4568E+00    1.6564    6.0157E-02    1.9607E-02    2.7717E-02
  0.04174    2.6082E+00    1.7081    6.3864E-02    1.9437E-02    2.8198E-02
  0.04301    2.8034E+00    1.7599    6.8642E-02    1.9541E-02    2.9092E-02
  0.04428    3.0236E+00    1.8117    7.4036E-02    1.9744E-02    3.0165E-02
  0.04554    3.2876E+00    1.8634    8.0500E-02    2.0140E-02    3.1576E-02
  0.04680    3.5963E+00    1.9152    8.8058E-02    2.0696E-02    3.3299E-02
  0.04807    3.9173E+00    1.9670    9.5918E-02    2.1205E-02    3.5011E-02
  0.04934    4.2680E+00    2.0187    1.0451E-01    2.1757E-02    3.6866E-02
  0.05060    4.6803E+00    2.0705    1.1460E-01    2.2494E-02    3.9114E-02
  0.05187    5.1090E+00    2.1222    1.2510E-01    2.3175E-02    4.1354E-02
  0.05313    5.5099E+00    2.1740    1.3491E-01    2.3613E-02    4.3241E-02
  0.05440    5.9355E+00    2.2258    1.4534E-01    2.4055E-02    4.5205E-02
  0.05566    6.3968E+00    2.2775    1.5663E-01    2.4538E-02    4.7322E-02
  0.05692    6.8274E+00    2.3293    1.6717E-01    2.4810E-02    4.9102E-02
  0.05819    7.2186E+00    2.3811    1.7675E-01    2.4871E-02    5.0511E-02
  0.05946    7.6148E+00    2.4328    1.8645E-01    2.4894E-02    5.1884E-02
  0.06072    7.9636E+00    2.4846    1.9500E-01    2.4720E-02    5.2873E-02
  0.06198    8.2123E+00    2.5363    2.0109E-01    2.4223E-02    5.3168E-02
  0.06325    8.4073E+00    2.5881    2.0586E-01    2.3579E-02    5.3111E-02
  0.06452    8.5654E+00    2.6399    2.0973E-01    2.2856E-02    5.2832E-02
  0.06578    8.6117E+00    2.6916    2.1086E-01    2.1877E-02    5.1895E-02
  0.06704    8.5513E+00    2.7434    2.0939E-01    2.0693E-02    5.0374E-02
  0.06831    8.4916E+00    2.7952    2.0792E-01    1.9585E-02    4.8927E-02
  0.06958    8.4564E+00    2.8469    2.0706E-01    1.8599E-02    4.7681E-02
  0.07084    8.3823E+00    2.8987    2.0525E-01    1.7589E-02    4.6276E-02
  0.07211    8.2523E+00    2.9504    2.0206E-01    1.6529E-02    4.4627E-02
  0.07337    8.0828E+00    3.0022    1.9791E-01    1.5461E-02    4.2838E-02
  0.07464    7.8922E+00    3.0540    1.9325E-01    1.4424E-02    4.1011E-02
  0.07590    7.7091E+00    3.1057    1.8876E-01    1.3467E-02    3.9293E-02
  0.07716    7.5527E+00    3.1575    1.8493E-01    1.2616E-02    3.7776E-02
  0.07843    7.3859E+00    3.2092    1.8085E-01    1.1802E-02    3.6265E-02
