Beta	ln(P(Beta))	ln(T1(Beta))
0	0	-inf
4.84621e-06	64821.1	10.3119
6.46159e-06	48616.1	10.0242
8.61539e-06	36462.3	9.73655
1.14872e-05	27346.8	9.44887
1.53162e-05	20510.1	9.16119
2.04213e-05	15382.8	8.87352
2.72294e-05	11536.7	8.5858
3.63056e-05	8652.59	8.29812
4.84071e-05	6489.49	8.01044
6.45425e-05	4867.14	7.72275
8.60573e-05	3650.33	7.43505
0.000114746	2737.67	7.14733
0.000152989	2053.34	6.85967
0.000203991	1539.95	6.57193
0.000271985	1154.98	6.28422
0.00036264	866.25	5.99652
0.00048352	649.688	5.70877
0.0006447	487.261	5.421
0.000859597	365.447	5.13321
0.00114611	274.09	4.84541
0.00152815	205.567	4.55753
0.00203759	154.171	4.26956
0.00271676	115.629	3.98155
0.00362235	86.722	3.69342
0.00482979	65.0415	3.40513
0.00965959	32.5206	2.70957
0.0144894	21.6803	2.30168
0.0193192	16.2601	2.01158
0.024149	13.008	1.78601
0.0289788	10.8399	1.60126
0.0386383	8.12968	1.30873
0.0482979	6.50352	1.08072
0.0579575	5.87993	0.975089
0.0676171	5.51084	0.905431
0.0772767	5.13088	0.829161
0.0965959	4.45036	0.677209
0.120745	3.65163	0.467325
0.144894	3.05723	0.277587
0.169043	2.52791	0.0753941
0.193192	2.09256	-0.125684
0.217341	1.73494	-0.325176
0.24149	1.42499	-0.534055
0.289788	0.948463	-0.965283
0.338086	0.611442	-1.42845
0.386383	0.394751	-1.89017
0.434681	0.272131	-2.28629
0.482979	0.205994	-2.58888
0.531277	0.167365	-2.8207
0.579575	0.143689	-2.99737
0.627873	0.127666	-3.13975
0.676171	0.114376	-3.27383
0.724469	0.103873	-3.39429
0.772767	0.0963209	-3.49393
0.821065	0.089767	-3.58855
0.869363	0.0840705	-3.67826
0.917661	0.0795729	-3.75739
0.965959	0.0755627	-3.83325
1.01426	0.0715211	-3.91237
1.06255	0.0679419	-3.98786
1.11085	0.065043	-4.05561
1.15915	0.0622519	-4.12362
